url_path,views_total,views_unique
/nbernardo/dlt-client/actions/workflows/repository-stats.yml,60,1
/nbernardo/dlt-client,47,4
/nbernardo/dlt-client/graphs/traffic,30,1
/nbernardo/dlt-client/pulse,22,1
/nbernardo/dlt-client/pulls,14,2
/nbernardo/dlt-client/blob/main/.github/workflows/repository-stats.yml,12,1
/nbernardo/dlt-client/pull/52,11,2
/nbernardo/dlt-client/actions,10,1
/nbernardo/dlt-client/tree/feature/sql-destinations-query-support,10,1
/nbernardo/dlt-client/tree/github-repo-stats/ghrs-data,9,1
