url_path,views_total,views_unique
/nbernardo/dlt-client/actions/workflows/repository-stats.yml,60,1
/nbernardo/dlt-client,50,4
/nbernardo/dlt-client/graphs/traffic,34,1
/nbernardo/dlt-client/pulse,25,1
/nbernardo/dlt-client/pulls,13,2
/nbernardo/dlt-client/blob/main/.github/workflows/repository-stats.yml,12,1
/nbernardo/dlt-client/pull/70,11,2
/nbernardo/dlt-client/actions,10,1
/nbernardo/dlt-client/tree/feature/sql-destinations-query-support,10,1
/nbernardo/dlt-client/tree/github-repo-stats/ghrs-data,9,1
